dataset,LITETime-1,LITETime-2,LITETime-3,LITETime-4,LITETime-5,LITETime-6,LITETime-7,LITETime-8,LITETime-9,LITETime-10
NonInvasiveFetalECGThorax2,0.954503816793893,0.959773819621148,0.961242578456319,0.962185871804192,0.962548972090957,0.963053435114504,0.963002544529262,0.963279615493356,0.962798982188295,0.962849872773537
OSULeaf,0.959504132231405,0.962167125803489,0.963326446280992,0.963951200314837,0.964105339105339,0.964502164502164,0.964462809917355,0.964738292011019,0.966115702479339,0.966942148760331
OliveOil,0.746666666666667,0.754814814814815,0.785555555555556,0.79952380952381,0.809656084656085,0.82015873015873,0.825833333333333,0.828148148148148,0.83,0.833333333333333
PhalangesOutlinesCorrect,0.822377622377622,0.833074333074333,0.83935508935509,0.84004329004329,0.842708217708218,0.843151293151293,0.844764957264957,0.843874643874644,0.845454545454545,0.843822843822844
Phoneme,0.317246835443038,0.328539615564932,0.335337552742616,0.338919027526622,0.341778430781595,0.343216294956801,0.344615857946554,0.346284575714955,0.34662447257384,0.34915611814346
PigAirwayPressure,0.404807692307692,0.444871794871795,0.467107371794872,0.47724358974359,0.483306623931624,0.487820512820513,0.491426282051282,0.494230769230769,0.498557692307692,0.495192307692308
PigArtPressure,0.990384615384616,0.993162393162393,0.995072115384616,0.995169413919414,0.995192307692308,0.995192307692308,0.995192307692308,0.995192307692308,0.995192307692308,0.995192307692308
PigCVP,0.942788461538461,0.948504273504274,0.952163461538462,0.953388278388279,0.954002594627595,0.953983516483516,0.954527243589744,0.954594017094017,0.955288461538462,0.956730769230769
Plane,1,1,1,1,1,1,1,1,1,1
PowerCons,0.957777777777778,0.966913580246914,0.970046296296296,0.973280423280423,0.974514991181658,0.97558201058201,0.976296296296296,0.976543209876543,0.977777777777778,0.977777777777778
ProximalPhalanxOutlineAgeGroup,0.84390243902439,0.853333333333334,0.856178861788618,0.85602787456446,0.857026713124274,0.857862950058072,0.857479674796748,0.858428184281843,0.859024390243902,0.863414634146341
ProximalPhalanxOutlineCorrect,0.901374570446735,0.909583810614738,0.913258877434135,0.912469317623957,0.91398025418644,0.91340206185567,0.913459335624284,0.91340206185567,0.910309278350515,0.910652920962199
ProximalPhalanxTW,0.781951219512195,0.787967479674797,0.789471544715447,0.789756097560976,0.790321331784746,0.78931475029036,0.789349593495935,0.787533875338754,0.788292682926829,0.785365853658537
RefrigerationDevices,0.4968,0.499437037037037,0.499533333333333,0.50007619047619,0.499280423280423,0.500253968253968,0.499088888888889,0.5008,0.499733333333333,0.501333333333333
Rock,0.83,0.822222222222222,0.831833333333333,0.833809523809524,0.83531746031746,0.836666666666667,0.837333333333333,0.838222222222223,0.84,0.84
ScreenType,0.574933333333333,0.580918518518519,0.585866666666667,0.588660317460317,0.590656084656084,0.592190476190476,0.592466666666667,0.5936,0.594133333333333,0.594666666666667
SemgHandGenderCh2,0.839833333333333,0.853481481481482,0.858166666666667,0.860833333333333,0.862486772486772,0.864769841269841,0.8655,0.866814814814815,0.867666666666667,0.868333333333333
SemgHandMovementCh2,0.466666666666667,0.498222222222222,0.513851851851852,0.524666666666667,0.531543209876543,0.536878306878307,0.54037037037037,0.545777777777778,0.550666666666667,0.551111111111111
SemgHandSubjectCh2,0.767333333333333,0.785975308641975,0.793351851851852,0.796349206349206,0.797901234567901,0.797756613756614,0.798314814814815,0.79758024691358,0.795111111111111,0.793333333333333
ShapeletSim,0.708333333333333,0.722716049382716,0.728657407407408,0.730925925925926,0.731966490299824,0.732724867724868,0.73412037037037,0.734074074074074,0.733333333333333,0.727777777777778
ShapesAll,0.897,0.906518518518519,0.909611111111111,0.911063492063492,0.91260582010582,0.913595238095238,0.914069444444444,0.914740740740741,0.914833333333333,0.915
SmallKitchenAppliances,0.753866666666667,0.764562962962963,0.766577777777778,0.767301587301587,0.768296296296296,0.768431746031746,0.769733333333333,0.770607407407408,0.772,0.778666666666667
SmoothSubspace,0.982666666666666,0.984444444444444,0.985777777777778,0.986222222222222,0.986613756613756,0.986666666666666,0.986666666666666,0.986666666666666,0.986666666666667,0.986666666666667
SonyAIBORobotSurface1,0.854575707154742,0.853170641523387,0.853840820854132,0.853846763330956,0.854336687531363,0.854623246969337,0.854728230726567,0.854908485856905,0.855074875207987,0.855241264559068
SonyAIBORobotSurface2,0.941238195173137,0.94252069488166,0.942138859741168,0.941837805426473,0.941467212978231,0.940998351071803,0.940800979363413,0.940352104465431,0.939559286463798,0.939139559286464
StarLightCurves,0.973530840213696,0.975557174464411,0.975880281690141,0.976242512546544,0.976497876145763,0.976583061587918,0.976742350655658,0.976790243375965,0.976979116075765,0.976687712481787
Strawberry,0.978378378378378,0.981561561561561,0.980990990990991,0.981634491634492,0.981166881166881,0.981788931788932,0.981846846846847,0.982282282282282,0.982432432432432,0.983783783783784
SwedishLeaf,0.95648,0.961315555555556,0.962706666666667,0.964114285714286,0.964571428571429,0.965531428571428,0.965866666666667,0.96704,0.968,0.9696
Symbols,0.982110552763819,0.983115577889447,0.983659966499162,0.983680306293372,0.983831857701204,0.983914812156018,0.98393634840871,0.983897264098269,0.983718592964824,0.98391959798995
SyntheticControl,0.998,0.998222222222222,0.998277777777778,0.998285714285714,0.998280423280423,0.998253968253968,0.998277777777778,0.998148148148148,0.998333333333333,0.996666666666667
ToeSegmentation1,0.972368421052632,0.972904483430799,0.972916666666666,0.973245614035088,0.973666805903648,0.973851294903926,0.973830409356725,0.973976608187134,0.974122807017544,0.978070175438596
ToeSegmentation2,0.937692307692308,0.932478632478633,0.931153846153846,0.929084249084249,0.927899877899878,0.926190476190476,0.924551282051282,0.924273504273504,0.923846153846154,0.923076923076923
Trace,1,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.99640035118525,0.996605209247878,0.996758852794849,0.996693005560433,0.996742478085761,0.996684644006856,0.996612525607258,0.996605209247878,0.996312554872695,0.996488147497805
TwoPatterns,0.999925,0.999961111111111,0.99995625,0.999973809523809,0.999987103174603,0.999995238095238,1,1,1,1
UMD,0.966666666666667,0.968364197530864,0.968402777777778,0.969246031746032,0.968391754850088,0.968419312169312,0.968113425925926,0.968055555555556,0.967361111111111,0.965277777777778
UWaveGestureLibraryAll,0.893802345058626,0.906371362987778,0.910564396054346,0.912986892132621,0.914648196892753,0.91575735821967,0.916596873255165,0.917321173770085,0.91750418760469,0.918760469011725
UWaveGestureLibraryX,0.807118927973199,0.82001985234816,0.823601805322911,0.826689000558347,0.827871721925323,0.828935683709553,0.82965522054718,0.829710279794032,0.830402010050251,0.829704075935232
UWaveGestureLibraryY,0.721356783919598,0.742446801910788,0.748308672994603,0.753444471032411,0.755662128987087,0.757439312966951,0.758531081332589,0.759401948011663,0.760748185371301,0.761306532663317
UWaveGestureLibraryZ,0.75608598548297,0.772442459209628,0.778822352503257,0.782578235090798,0.784322848811961,0.786385631863019,0.787023078354737,0.787765990446057,0.789056393076494,0.788386376326075
Wafer,0.999156391953277,0.999178022928834,0.99922804455981,0.999191928555978,0.9992203835893,0.999207379252804,0.999196950032447,0.999196048741798,0.999188838416612,0.999188838416612
Wine,0.644444444444444,0.62880658436214,0.624382716049383,0.617372134038801,0.60706937095826,0.607936507936508,0.598765432098765,0.596296296296296,0.596296296296296,0.555555555555556
WordSynonyms,0.692476489028213,0.710727969348659,0.719840647857889,0.724488729661143,0.726439269542718,0.727660844902224,0.728513584117032,0.72838732149077,0.72742946708464,0.727272727272727
Worms,0.792207792207792,0.806637806637806,0.811147186147186,0.811997526283241,0.81266749123892,0.812121212121212,0.812554112554113,0.811544011544011,0.811688311688312,0.805194805194805
WormsTwoClass,0.775324675324675,0.777200577200577,0.776190476190476,0.774891774891775,0.775458668315811,0.774891774891775,0.775974025974026,0.771717171717172,0.771428571428571,0.753246753246753
Yoga,0.900866666666666,0.909518518518518,0.912602777777778,0.914346031746032,0.915587301587302,0.916298412698413,0.917019444444444,0.91737037037037,0.918233333333333,0.918333333333333
AllGestureWiimoteX,0.755428571428572,0.767650793650793,0.773619047619048,0.775244897959184,0.77687641723356,0.777068027210884,0.777488095238095,0.77768253968254,0.779857142857143,0.781428571428571
AllGestureWiimoteY,0.776857142857143,0.789523809523809,0.79377380952381,0.79587074829932,0.798537414965986,0.80012925170068,0.801595238095238,0.802984126984127,0.804571428571429,0.807142857142857
