dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET
Lightning7,0.827397260273973,0.827397260273973,0.813698630136986,0.821917808219178,0.827397260273973,0.835616438356164,0.82328767,0.849315068493151
Mallat,0.970319829424307,0.9736460554371,0.955991471215352,0.962046908315565,0.947633262260128,0.95863539445629,0.95594883,0.927078891257996
Meat,0.783333333333333,0.99,0.93,0.95,0.913333333333333,0.933333333333333,0.94833333,0.916666666666667
MedicalImages,0.782631578947368,0.769736842105263,0.791578947368421,0.8,0.752631578947368,0.785526315789474,0.79947368,0.807894736842105
MelbournePedestrian,0.914309143091431,0.909225092250923,0.905371053710537,0.910209102091021,0.898564985649856,0.90569905699057,0.90438704,0.962689626896269
MiddlePhalanxOutlineAgeGroup,0.535064935064935,0.545454545454545,0.522077922077922,0.538961038961039,0.524675324675325,0.512987012987013,0.59025974,0.636363636363636
MiddlePhalanxOutlineCorrect,0.791752577319588,0.826116838487973,0.821305841924399,0.828178694158076,0.82680412371134,0.848797250859107,0.83848797,0.859106529209622
MiddlePhalanxTW,0.5,0.494805194805195,0.503896103896104,0.532467532467532,0.507792207792208,0.5,0.56038961,0.538961038961039
MixedShapesRegularTrain,0.957938144329897,0.972865979381443,0.964371134020618,0.969896907216495,0.976824742268041,0.980618556701031,0.97105155,0.979381443298969
MixedShapesSmallTrain,0.894268041237113,0.916536082474227,0.910103092783505,0.91298969072165,0.938639175257732,0.943917525773196,0.9382268,0.961649484536082
MoteStrain,0.934345047923323,0.923961661341853,0.894888178913738,0.896166134185303,0.875718849840256,0.88258785942492,0.91461661,0.941693290734824
NonInvasiveFetalECGThorax1,0.953791348600509,0.941374045801527,0.956335877862595,0.959287531806616,0.952162849872773,0.959796437659033,0.9529771,0.958778625954198
NonInvasiveFetalECGThorax2,0.952773536895674,0.943613231552163,0.957455470737914,0.961832061068702,0.953791348600509,0.960814249363868,0.96905852,0.968447837150127
OSULeaf,0.967768595041322,0.980165289256198,0.929752066115702,0.933884297520661,0.956198347107438,0.954545454545455,0.94090909,0.954545454545455
OliveOil,0.506666666666667,0.846666666666667,0.846666666666667,0.866666666666667,0.693333333333333,0.8,0.91666667,0.966666666666667
PLAID,0.903538175046555,0.940409683426443,0.937057728119181,0.942271880819367,0.906517690875233,0.919925512104283,0.90260708,0.934823091247672
PhalangesOutlinesCorrect,0.821678321678322,0.845221445221445,0.834731934731935,0.858974358974359,0.821678321678322,0.84032634032634,0.83426573,0.834498834498834
Phoneme,0.32542194092827,0.333438818565401,0.329008438818565,0.340189873417721,0.309388185654008,0.337025316455696,0.27985232,0.347573839662447
PickupGestureWiimoteZ,0.744,0.704,0.748,0.76,0.756,0.78,0.83,0.84
PigAirwayPressure,0.192307692307692,0.405769230769231,0.513461538461538,0.543269230769231,0.347115384615385,0.471153846153846,0.09519231,0.596153846153846
PigArtPressure,0.9875,0.991346153846154,0.992307692307692,0.995192307692308,0.993269230769231,0.995192307692308,0.95384615,0.951923076923077
PigCVP,0.803846153846154,0.918269230769231,0.948076923076923,0.961538461538462,0.935576923076923,0.947115384615385,0.93413462,0.870192307692308
Plane,1,1,1,1,1,1,1,1
PowerCons,0.872222222222222,0.878888888888889,0.95,0.955555555555556,0.944444444444444,0.961111111111111,0.94,0.994444444444444
ProximalPhalanxOutlineAgeGroup,0.830243902439024,0.846829268292683,0.833170731707317,0.839024390243902,0.837073170731707,0.853658536585366,0.85560976,0.853658536585366
ProximalPhalanxOutlineCorrect,0.898969072164948,0.919587628865979,0.91340206185567,0.927835051546392,0.905154639175258,0.917525773195876,0.89896907,0.917525773195876
ProximalPhalanxTW,0.769756097560976,0.772682926829268,0.769756097560976,0.785365853658537,0.781463414634146,0.804878048780488,0.81658537,0.819512195121951
RefrigerationDevices,0.5104,0.530133333333333,0.513066666666667,0.514666666666667,0.496533333333333,0.496,0.53733333,0.528
Rock,0.632,0.552,0.78,0.82,0.828,0.86,0.9,0.86
ScreenType,0.620266666666667,0.615466666666667,0.584533333333333,0.589333333333333,0.565866666666667,0.589333333333333,0.48533333,0.56
SemgHandGenderCh2,0.831333333333333,0.823666666666667,0.815333333333333,0.816666666666667,0.843666666666667,0.868333333333333,0.92683333,0.951666666666667
SemgHandMovementCh2,0.478222222222222,0.439111111111111,0.406666666666667,0.444444444444444,0.478666666666667,0.511111111111111,0.64511111,0.768888888888889
SemgHandSubjectCh2,0.741777777777778,0.738666666666667,0.784888888888889,0.811111111111111,0.767555555555555,0.802222222222222,0.88111111,0.917777777777778
ShakeGestureWiimoteZ,0.884,0.88,0.888,0.9,0.928,0.96,0.898,0.94
ShapeletSim,0.747777777777778,0.782222222222222,0.952222222222222,0.988888888888889,0.737777777777778,0.75,1,1
ShapesAll,0.892333333333333,0.926333333333333,0.92,0.925,0.899666666666667,0.913333333333333,0.90683333,0.921666666666667
SmallKitchenAppliances,0.776,0.781333333333334,0.757866666666667,0.776,0.757866666666667,0.770666666666667,0.8184,0.821333333333333
SmoothSubspace,0.969333333333333,0.98,0.98,0.98,0.984,0.986666666666667,0.97866667,0.98
SonyAIBORobotSurface1,0.965058236272879,0.960732113144759,0.866555740432612,0.866888519134775,0.841597337770383,0.835274542429285,0.92246256,0.886855241264559
SonyAIBORobotSurface2,0.977334732423924,0.975445960125918,0.954039874081847,0.959076600209864,0.939559286463798,0.941238195173137,0.91259182,0.940188877229801
